City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Pemba,MZ,2022-04-16 23:50:50,-12.974,40.5178,79.5,89,40,6.91
68,Fortuna,US,2022-04-16 23:50:51,40.5982,-124.1573,54.93,61,40,10.36
69,Butaritari,KI,2022-04-16 23:47:10,3.0707,172.7902,81.77,76,24,12.86
70,Saint-Pierre,RE,2022-04-16 23:50:51,-21.3393,55.4781,76.68,74,0,13.8
71,Korla,CN,2022-04-16 23:50:51,41.7597,86.1469,47.98,15,0,2.71
72,Grindavik,IS,2022-04-16 23:50:52,63.8424,-22.4338,46.35,100,75,13.8
73,Ulaanbaatar,MN,2022-04-16 23:50:35,47.9077,106.8832,21.33,79,0,2.24
74,Chuy,UY,2022-04-16 23:47:07,-33.6971,-53.4616,59.61,82,38,6.58
75,Busselton,AU,2022-04-16 23:45:51,-33.65,115.3333,59.2,64,22,9.17
76,Avera,US,2022-04-16 23:50:53,33.194,-82.5271,67.51,90,100,1.1
77,Saint Anthony,US,2022-04-16 23:50:53,45.0205,-93.218,40.93,36,0,17.27
78,Georgetown,MY,2022-04-16 23:50:51,5.4112,100.3354,78.75,94,20,2.3
79,Coquimbo,CL,2022-04-16 23:46:29,-29.9533,-71.3436,56.93,94,75,8.05
80,Hasaki,JP,2022-04-16 23:50:53,35.7333,140.8333,55.8,54,88,8.37
81,Punta Arenas,CL,2022-04-16 23:45:14,-53.15,-70.9167,46.51,81,40,10.36
82,Talnakh,RU,2022-04-16 23:48:32,69.4865,88.3972,15.42,94,100,13.18
83,Gushi,CN,2022-04-16 23:50:54,34.6425,109.5843,51.6,61,100,7.92
84,Nara,JP,2022-04-16 23:50:54,34.6851,135.8049,55.96,42,88,3.47
85,Lavrentiya,RU,2022-04-16 23:50:55,65.5833,-171.0,30.45,94,99,10.09
86,Ostersund,SE,2022-04-16 23:50:55,63.1792,14.6357,37.85,75,81,5.75
87,Kapaa,US,2022-04-16 23:46:06,22.0752,-159.319,82.38,85,75,24.16
88,Ribeira Grande,PT,2022-04-16 23:46:02,38.5167,-28.7,59.92,76,20,16.2
89,Luderitz,NA,2022-04-16 23:50:56,-26.6481,15.1594,62.17,61,0,11.99
90,Alta Floresta,BR,2022-04-16 23:50:56,-9.8756,-56.0861,73.42,96,90,1.36
91,Cabo San Lucas,MX,2022-04-16 23:45:49,22.8909,-109.9124,88.61,16,75,11.5
92,Faya,SA,2022-04-16 23:50:56,18.3851,42.4509,64.51,46,4,4.32
93,Poso,ID,2022-04-16 23:51:57,-1.3959,120.7524,80.11,82,100,1.86
94,Rumphi,MW,2022-04-16 23:51:57,-11.0186,33.8575,61.88,96,72,2.62
95,Mersing,MY,2022-04-16 23:51:57,2.4312,103.8405,78.71,89,83,2.3
96,Ebolowa,CM,2022-04-16 23:51:58,2.9,11.15,69.64,98,57,1.41
97,Hambantota,LK,2022-04-16 23:51:58,6.1241,81.1185,80.06,82,74,7.14
98,Jamestown,US,2022-04-16 23:45:52,42.097,-79.2353,41.52,49,20,13.8
99,Thunder Bay,CA,2022-04-16 23:51:20,48.4001,-89.3168,29.28,62,100,11.5
100,Airai,TL,2022-04-16 23:46:04,-8.9266,125.4092,68.18,74,53,2.28
101,Banjarmasin,ID,2022-04-16 23:51:59,-3.3244,114.591,73.54,89,95,3.89
102,Alexandroupoli,GR,2022-04-16 23:51:59,40.8475,25.8744,59.27,67,100,8.63
103,Pacific Grove,US,2022-04-16 23:47:23,36.6177,-121.9166,64.02,78,75,8.05
104,Nizhniye Vyazovyye,RU,2022-04-16 23:52:00,55.7988,48.5248,32.18,98,100,16.46
105,Vaini,TO,2022-04-16 23:46:28,-21.2,-175.2,84.36,79,40,8.05
106,Saint-Philippe,RE,2022-04-16 23:46:00,-21.3585,55.7679,76.59,77,51,10.49
107,Russellville,US,2022-04-16 23:52:00,35.2784,-93.1338,64.54,63,100,9.22
108,Yegorlykskaya,RU,2022-04-16 23:52:00,46.5656,40.6562,47.97,76,94,6.24
109,Diego De Almagro,CL,2022-04-16 23:51:28,-26.3667,-70.05,58.06,47,0,0.81
110,Praia Da Vitoria,PT,2022-04-16 23:52:01,38.7333,-27.0667,59.25,94,40,8.41
111,Victoria,HK,2022-04-16 23:48:26,22.2855,114.1577,70.18,82,100,11.01
112,Mar Del Plata,AR,2022-04-16 23:48:12,-38.0023,-57.5575,64.09,93,0,10.0
113,Honiara,SB,2022-04-16 23:50:48,-9.4333,159.95,85.23,68,100,3.76
114,Chokurdakh,RU,2022-04-16 23:47:05,70.6333,147.9167,2.64,92,88,2.66
115,Halifax,CA,2022-04-16 23:49:09,44.6453,-63.5724,49.89,64,100,24.16
116,Bubaque,GW,2022-04-16 23:48:35,11.2833,-15.8333,75.25,74,7,24.29
117,Port Shepstone,ZA,2022-04-16 23:52:02,-30.7414,30.455,62.96,82,100,3.56
118,Zhigansk,RU,2022-04-16 23:48:54,66.7697,123.3711,7.68,98,90,11.99
119,Sechura,PE,2022-04-16 23:52:02,-5.5569,-80.8222,71.11,71,18,18.12
120,Campoverde,PE,2022-04-16 23:52:03,-8.4753,-74.8058,82.09,75,73,1.59
121,Elk Grove,US,2022-04-16 23:51:50,38.4088,-121.3716,70.92,56,20,11.5
122,Chara,RU,2022-04-16 23:52:03,56.9064,118.2631,16.2,72,100,2.64
123,Leh,IN,2022-04-16 23:52:03,34.1667,77.5833,32.72,47,0,6.04
124,Los Llanos De Aridane,ES,2022-04-16 23:52:04,28.6585,-17.9182,62.35,77,0,12.66
125,Lingyuan,CN,2022-04-16 23:52:04,41.24,119.4011,58.51,18,21,7.02
126,Svetlogorsk,BY,2022-04-16 23:52:04,52.6333,29.7333,34.38,96,100,13.13
127,Yeppoon,AU,2022-04-16 23:52:05,-23.1333,150.7333,74.98,61,2,11.48
128,Port Elizabeth,ZA,2022-04-16 23:46:01,-33.918,25.5701,63.32,84,20,10.36
129,Hobart,AU,2022-04-16 23:44:58,-42.8794,147.3294,67.26,69,0,6.91
130,Bengkulu,ID,2022-04-16 23:49:52,-3.8004,102.2655,77.56,86,100,3.8
131,Adwa,ET,2022-04-16 23:52:05,14.1646,38.8955,65.82,63,86,6.4
132,Hithadhoo,MV,2022-04-16 23:52:06,-0.6,73.0833,83.21,64,85,7.0
133,Piranshahr,IR,2022-04-16 23:52:06,36.701,45.1413,41.74,78,26,3.53
134,Myitkyina,MM,2022-04-16 23:52:07,25.3833,97.4,72.34,72,99,2.86
135,Miranda,CO,2022-04-16 23:52:07,3.2499,-76.2281,73.53,96,100,1.68
136,Mirabad,AF,2022-04-16 23:52:07,30.4362,61.8383,69.48,34,45,11.88
137,Oriximina,BR,2022-04-16 23:52:08,-1.7656,-55.8661,75.61,94,95,0.49
138,Puerto Ayora,EC,2022-04-16 23:47:20,-0.7393,-90.3518,75.94,88,55,7.23
139,Deputatskiy,RU,2022-04-16 23:52:08,69.3,139.9,8.94,90,100,3.6
140,Smithers,CA,2022-04-16 23:52:08,54.7804,-127.1743,48.52,18,20,5.75
141,Ilulissat,GL,2022-04-16 23:47:18,69.2167,-51.1,-5.49,93,9,5.23
142,Bambous Virieux,MU,2022-04-16 23:47:23,-20.3428,57.7575,77.25,88,40,10.36
143,Hatillo,PR,2022-04-16 23:53:09,18.4863,-66.8254,77.79,89,100,1.01
144,Baykit,RU,2022-04-16 23:53:09,61.67,96.37,38.55,98,100,4.45
145,Barreirinhas,BR,2022-04-16 23:53:10,-2.7469,-42.8264,77.54,85,47,3.2
146,Hokitika,NZ,2022-04-16 23:53:10,-42.7167,170.9667,61.97,59,95,3.91
147,Nanortalik,GL,2022-04-16 23:53:10,60.1432,-45.2371,29.19,85,24,10.2
148,Baracoa,CU,2022-04-16 23:53:11,20.3467,-74.4958,72.59,81,100,3.04
149,Alice Springs,AU,2022-04-16 23:49:00,-23.7,133.8833,81.95,26,75,6.91
150,Palu,ID,2022-04-16 23:53:11,-0.8917,119.8707,77.32,94,100,1.34
151,Ahuimanu,US,2022-04-16 23:53:11,21.4447,-157.8378,78.85,79,100,5.99
